                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3117,                   2.15,                 1.4889,                0.53085,                0.63701,                0.54317,                0.34463,                 1.1556,                  1.838,                 1.3783,               0.000333,               0.000333,               0.000333
                      2,                 1.2575,                 1.5757,                 1.3995,                0.63065,                 0.7041,                0.70283,                0.45256,                 1.1835,                 1.2653,                 1.3529,             0.00063994,             0.00063994,             0.00063994
                      3,                 1.2353,                 1.4578,                 1.3815,                  0.672,                0.71447,                0.74394,                0.49781,                 1.1409,                 1.1113,                 1.2918,             0.00092049,             0.00092049,             0.00092049
                      4,                 1.2008,                 1.3531,                 1.3556,                0.66794,                0.75822,                0.78059,                0.52785,                 1.1138,                  1.041,                  1.273,              0.0008812,              0.0008812,              0.0008812
                      5,                 1.1705,                 1.2809,                 1.3342,                0.74087,                0.73583,                 0.7971,                0.54694,                 1.0947,                 1.0698,                 1.2679,              0.0008416,              0.0008416,              0.0008416
                      6,                 1.1432,                  1.232,                 1.3189,                0.74276,                0.75416,                0.81822,                0.56492,                 1.0578,                0.88532,                 1.2182,               0.000802,               0.000802,               0.000802
                      7,                 1.1242,                 1.1831,                 1.3064,                0.74249,                0.79837,                0.84255,                0.58472,                 1.0467,                0.84958,                 1.2203,              0.0007624,              0.0007624,              0.0007624
                      8,                 1.1123,                 1.1483,                 1.2988,                0.75892,                0.80696,                0.85741,                0.59673,                 1.0405,                0.81978,                 1.2063,              0.0007228,              0.0007228,              0.0007228
                      9,                 1.0927,                 1.1156,                 1.2855,                0.78969,                0.79814,                0.86253,                  0.611,                 1.0156,                0.77036,                 1.1995,              0.0006832,              0.0006832,              0.0006832
                     10,                 1.0799,                 1.0905,                 1.2765,                0.81143,                0.81377,                0.88186,                0.63139,                0.99675,                0.72632,                 1.1728,              0.0006436,              0.0006436,              0.0006436
                     11,                 1.0757,                  1.069,                 1.2753,                0.78835,                0.82465,                0.88061,                0.62915,                  1.008,                0.71594,                 1.1769,               0.000604,               0.000604,               0.000604
                     12,                 1.0644,                 1.0359,                 1.2672,                 0.8133,                0.82514,                0.88109,                 0.6239,                 1.0064,                0.69908,                 1.1747,              0.0005644,              0.0005644,              0.0005644
                     13,                 1.0516,                 1.0199,                 1.2594,                0.82294,                0.83158,                0.89645,                0.64924,                0.98633,                0.67766,                 1.1649,              0.0005248,              0.0005248,              0.0005248
                     14,                 1.0486,                 1.0009,                 1.2568,                0.84744,                0.82231,                0.90901,                0.65664,                0.98422,                0.64489,                 1.1556,              0.0004852,              0.0004852,              0.0004852
                     15,                 1.0311,                 0.9795,                  1.249,                 0.8327,                0.83805,                0.90424,                0.65849,                0.97293,                0.64043,                 1.1498,              0.0004456,              0.0004456,              0.0004456
                     16,                 1.0178,                0.77866,                 1.2491,                0.83168,                0.85859,                0.90809,                0.66266,                0.96221,                0.63384,                 1.1463,               0.000406,               0.000406,               0.000406
                     17,                0.99597,                0.73639,                 1.2369,                 0.8417,                0.85471,                0.91845,                0.67384,                 0.9592,                0.59904,                 1.1438,              0.0003664,              0.0003664,              0.0003664
                     18,                0.98792,                0.71053,                 1.2292,                0.84651,                0.84687,                0.91821,                0.67559,                0.95868,                0.59059,                  1.139,              0.0003268,              0.0003268,              0.0003268
                     19,                0.97236,                0.67809,                 1.2164,                0.84839,                0.86905,                0.92192,                0.68292,                 0.9497,                0.56716,                 1.1259,              0.0002872,              0.0002872,              0.0002872
                     20,                0.96153,                0.66648,                 1.2134,                0.84943,                0.86887,                 0.9225,                0.68026,                0.94539,                0.56799,                 1.1219,              0.0002476,              0.0002476,              0.0002476
                     21,                0.94901,                0.64535,                 1.2035,                0.84173,                0.87076,                 0.9245,                0.68236,                0.94262,                0.56169,                 1.1258,               0.000208,               0.000208,               0.000208
                     22,                0.93729,                0.62115,                 1.1981,                0.86256,                0.87065,                 0.9284,                0.68831,                0.94005,                0.54991,                 1.1233,              0.0001684,              0.0001684,              0.0001684
                     23,                0.92811,                0.61003,                 1.1904,                0.85037,                 0.8788,                0.92845,                0.68834,                0.93658,                0.54879,                 1.1151,              0.0001288,              0.0001288,              0.0001288
                     24,                0.91335,                0.58786,                 1.1794,                 0.8544,                0.87433,                0.92939,                0.68958,                0.93782,                0.54342,                 1.1159,               8.92e-05,               8.92e-05,               8.92e-05
                     25,                0.91114,                0.58104,                 1.1791,                0.85908,                0.87576,                0.93034,                0.69103,                0.93444,                0.54105,                 1.1153,               4.96e-05,               4.96e-05,               4.96e-05
